Seen,Title,Alt,Year
FALSE,A Matter of Life and Death ,,1946
FALSE,Great Epectations ,,1946
FALSE,My Darling Clementine ,,1946
FALSE,Notorious ,,1946
FALSE,Black Narcissus ,,1946
FALSE,The Stranger ,,1946
FALSE,Out of the Past ,,1947
FALSE,Monsieur Verdoux ,,1947
FALSE,Odd Man Out ,,1947
FALSE,The Ghost and Mrs. Muir ,,1947
FALSE,The Bicycle Thief ,Ladri di Biciclette,1948
FALSE,Spring in a Small Town ,Xiao Cheng Zhi Chun,1948
FALSE,Letter From an Unknown Woman ,,1948
FALSE,Secret Beyond the Door ,,1948
FALSE,Force of Evil ,,1948
FALSE,Red River ,,1948
FALSE,The Paleface ,,1948
FALSE,The Snake Pit ,,1948
FALSE,The Lady From Shanghai ,,1948
FALSE,Rope ,,1948
FALSE,The Red Shoes ,,1948
FALSE,The Treasure of the Sierra Madre ,,1948
FALSE,Louisiana Story ,,1948
FALSE,Gun Crazy ,,1949
FALSE,The Reckless Moment ,,1949
FALSE,White Heat ,,1949
FALSE,Adam's Rib ,,1949
FALSE,The Heiress ,,1949
FALSE,The Third Man ,,1949
FALSE,Kind Hearts and Coronets ,,1949
FALSE,Whiskey Galore! ,,1949
FALSE,On the Town ,,1949
FALSE,The Young and the Damned ,Los Olvidados,1950
FALSE,Orpheus ,Orphée,1950
FALSE,The Asphalt Jungle ,,1950
FALSE,Rashomon ,,1950
FALSE,All About Eve ,,1950
FALSE,Winchester '73 ,,1950
FALSE,Rio Grande ,,1950
FALSE,Sunset Blvd. ,,1950
FALSE,In a Lonely Place ,,1950
FALSE,The Big Carnival ,Ace in the Hole,1951
FALSE,Diary of a Country Priest ,Journal d'un Curé de Campagne,1951
FALSE,Strangers on a Train ,,1951
FALSE,A Streetcar Named Desire ,,1951
FALSE,An American in Paris ,,1951
FALSE,Pandora and the Flying Dutchman ,,1951
FALSE,The African Queen ,,1951
FALSE,A Place in the Sun ,,1951
FALSE,The Lavender Hill Mob ,,1951
FALSE,The Day the Earth Stood Still ,,1951
FALSE,To Live ,Ikiru,1952
FALSE,Forbidden Games ,Jeux Interdits,1952
FALSE,The Quiet Man ,,1952
FALSE,Europa '51 ,,1952
FALSE,Singin' In the Rain ,,1952
FALSE,The Bad and the Beautiful ,,1952
FALSE,Umberto D ,,1952
FALSE,High Noon ,,1952
FALSE,Angel Face ,,1952
FALSE,The Big Sky ,,1952
FALSE,The Golden Coach ,Le Carrosse d'or,1953
FALSE,Wages of Fear ,Le Salaire de la Peur,1953
FALSE,Mr. Hulot's Holiday ,Les Vacances de M. Hulot,1953
FALSE,Summer with Monika ,Sommaren med Monika,1953
FALSE,Tales of Ugetsu ,Ugetsu Monogatari,1953
FALSE,Voyage in Italy ,Viaggio in Italia,1953
FALSE,Pickup on South Street ,,1953
FALSE,The Band Wagon ,,1953
FALSE,The Earrings of Madame De... ,,1953
FALSE,The Bigamist ,,1953
FALSE,The Naked Spur ,,1953
FALSE,Tokyo Story ,,1953
FALSE,From Here to Eternity ,,1953
FALSE,Shane ,,1953
FALSE,Gentlemen Prefer Blondes ,,1953
FALSE,Roman Holiday ,,1953
FALSE,The Big Heat ,,1953
FALSE,Beat the Devil ,,1953
FALSE,The Road ,La Strada,1954
FALSE,The Wanton Countess ,Senso,1954
FALSE,Seven Samurai ,Shichinin no Samurai,1954
FALSE,On the Waterfront ,,1954
FALSE,Les Diaboliques ,,1954
FALSE,A Star is Born ,,1954
FALSE,Rear Window ,,1954
FALSE,Silver Lode ,,1954
FALSE,The Barefoot Contessa ,,1954
FALSE,Sansho the Baliff ,,1954
FALSE,Carmen Jones ,,1954
FALSE,Johnny Guitar ,,1954
FALSE,Salt of the Earth ,,1954
FALSE,Seven Brides for Seven Brothers ,,1954
FALSE,Animal Farm ,,1954
FALSE,Bob the Gambler ,Bob le Flambeur,1955
FALSE,The Mad Masters ,Les Maîtres Fous,1955
FALSE,The Sins of Lola Montes ,Lola Montès,1955
FALSE,Night and Fog ,Nuit et Brouillard,1955
FALSE,Smiles of a Summer Night ,Sommarnattens Leende,1955
FALSE,Pather Panchali ,,1955
FALSE,Ordet ,,1955
FALSE,Marty ,,1955
FALSE,Artists and Models ,,1955
FALSE,Rebel Without a Cause ,,1955
FALSE,Hill 24 Doesn't Answer ,,1955
FALSE,Bad Day at Black Rock ,,1955
FALSE,The Phenix City Story ,,1955
FALSE,The Man with the Golden Arm ,,1955
FALSE,Kiss Me Deadly ,,1955
FALSE,Guys and Dolls ,,1955
FALSE,The Night of the Hunter ,,1955
FALSE,The Ladykillers ,,1955
FALSE,Oklahoma! ,,1955
FALSE,All That Heaven Allows ,,1955
FALSE,The Man From Laramie ,,1955
FALSE,The Burmese Harp ,Biruma no Tategoto,1956
FALSE,A Man Escaped ,Un Condamné à Mort s'est Échappé ou le Vent Souffle où il Veut,1956
FALSE,The Ten Commandments ,,1956
FALSE,The Searchers ,,1956
FALSE,Forbidden Planet ,,1956
FALSE,Written on the Wind ,,1956
FALSE,Bigger Than Life ,,1956
FALSE,Invasion of the Body Snatchers ,,1956
FALSE,Giant ,,1956
FALSE,The Wrong Man ,,1956
FALSE,High Society ,,1956
FALSE,The Man Who Knew Too Much ,,1956
FALSE,The Unvanquished ,Aparajito,1957
FALSE,Mother India ,Bharat Mata,1957
FALSE,The Seventh Seal ,Det Sjunde Inseglet,1957
FALSE,Throne of Blood ,Kumonosu Jo,1957
FALSE,Nights of Cabiria ,Le Notti di Cabiria,1957
FALSE,The Cranes are Flying ,Letjat Zhuravli,1957
FALSE,Wild Strawberries ,Smultronstället,1957
FALSE,Paths of Glory ,,1957
FALSE,An Affair to Remember ,,1957
FALSE,12 Angry Men ,,1957
FALSE,The Incredible Shrinking Man ,,1957
FALSE,Gunfight at the O.K. Corral ,,1957
FALSE,The Bridge on the River Kwai ,,1957
FALSE,Sweet Smell of Success ,,1957
FALSE,Cairo Station ,Bab el Hadid,1958
FALSE,"Ivan the Terrible, Part II: The Boyars’ Plot ",Ivan Groznyj: Skaz Vtoroy – Boyarskiy Zagovor,1958
FALSE,The Music Room ,Jalsaghar,1958
FALSE,My Uncle ,Mon Oncle,1958
FALSE,Ashes and Diamonds ,Popiól i Diament,1958
FALSE,Touch of Evil ,,1958
FALSE,Gigi ,,1958
FALSE,The Defiant Ones ,,1958
FALSE,Man of the West ,,1958
FALSE,Vertigo ,,1958
FALSE,Some Came Running ,,1958
FALSE,Dracula ,,1958
FALSE,The World of Apu ,Apur Sansar,1959
FALSE,The 400 Blows ,Les Quatre Cents Coups,1959
FALSE,Black Orpheus ,Orfeu Negro,1959
FALSE,Floating Weeds ,Ukigusa,1959
FALSE,Some Like It Hot ,,1959
FALSE,North by Northwest ,,1959
FALSE,Pickpocket ,,1959
FALSE,Hiroshima Mon Amour ,,1959
FALSE,Ride Lonesome ,,1959
FALSE,Ben-Hur ,,1959
FALSE,Anatomy of a Murder ,,1959
FALSE,Shadows ,,1959
FALSE,Rio Bravo ,,1959
FALSE,Breathless ,A Bout de Souffle,1960
FALSE,The Housemaid ,Hanyeo,1960
FALSE,The Adventure ,L'Avventura,1960
FALSE,The Young One ,La Joven,1960
FALSE,Black Sunday ,La Maschera del Demonio / Revenge of the Vampire,1960
FALSE,The Hole ,Le Trou,1960
FALSE,Eyes Without a Face ,Les Yeux Sans Visage,1960
FALSE,The Cloud-Capped Star ,Meghe Dhaka Tara,1960
FALSE,Rocco and his Brothers ,Rocco e i Suoi Fratelli,1960
FALSE,Shoot the Piano Player ,Tirez sur le Pianiste,1960
FALSE,Saturday Night and Sunday Morning ,,1960
FALSE,La Dolce Vita ,,1960
FALSE,Spartacus ,,1960
FALSE,The Apartment ,,1960
FALSE,Psycho ,,1960
FALSE,Peeping Tom ,,1960
FALSE,Last Year at Marienbad ,L'Année Dernière à Marienbad,1961
FALSE,The Night ,La Notte,1961
FALSE,Through a Glass Darkly ,Såsom i en Spegel,1961
FALSE,Splendor in the Grass ,,1961
FALSE,Viridiana ,,1961
FALSE,Breakfast at Tiffany's ,,1961
FALSE,Lola ,,1961
FALSE,The Exiles ,,1961
FALSE,West Side Story ,,1961
FALSE,The Hustler ,,1961
FALSE,The Ladies Man ,,1961
FALSE,Chronicle of a Summer ,,1961
FALSE,One-Eyed Jacks ,,1961
FALSE,Cleo From 5 to 7 ,Cléo de 5 à 7,1962
FALSE,The Exterminating Angel ,El Ángel Exterminador,1962
FALSE,Jules and Jim ,Jules et Jim,1962
FALSE,The Eclipse ,L'Eclisse,1962
FALSE,The Pier ,La Jetée,1962
FALSE,A Dog's Life ,Mondo Cane,1962
FALSE,The Given Word,O Pagador de Promessas,1962
FALSE,An Autumn Afternoon ,Sanma no Aji,1962
FALSE,My Life to Live ,Vivre sa Vie: Film en Douze Tableaux,1962
FALSE,Lolita ,,1962
FALSE,The Man Who Shot Liberty Valance ,,1962
FALSE,Heaven and Earth Magic ,,1962
FALSE,Lawrence of Arabia ,,1962
FALSE,To Kill a Mockingbird ,,1962
FALSE,The Manchurian Candidate ,,1962
FALSE,What Ever Happened to Baby Jane? ,,1962
FALSE,The Leopard ,Il Gattopardo,1963
FALSE,The House is Black ,Khaneh Siah Ast,1963
FALSE,Contempt ,Le Mépris,1963
FALSE,Winter Light ,Nattvardsgästerna,1963
FALSE,Passenger ,Pasazerka,1963
FALSE,Barren Lives ,Vidas Secas,1963
FALSE,An Actor's Revenge ,Yukinojo Henge,1963
FALSE,8 1/2 ,,1963
FALSE,The Birds ,,1963
FALSE,The Servant ,,1963
FALSE,Flaming Creatures ,,1963
FALSE,Hud ,,1963
FALSE,Shock Corridor ,,1963
FALSE,Blonde Cobra ,,1963
FALSE,The Cool World ,,1963
FALSE,The Nutty Professor ,,1963
FALSE,The Great Escape ,,1963
FALSE,Méditerranée ,,1963
FALSE,The Haunting ,,1963
TRUE,Dog Star Man,,1964
FALSE,"Black God, White Devil ",Deus e o Diabo na Terra do Sol,1964
FALSE,The Red Desert ,Il Deserto Rosso,1964
FALSE,The Gospel According to St. Matthew ,Il Vangelo Secondo Matteo,1964
FALSE,The Umbrellas of Cherbourg ,Les Parapluies de Cherbourg,1964
FALSE,The Demon ,Onibaba,1964
FALSE,Before the Revolution ,Prima Della Rivoluzione,1964
FALSE,Woman in the Dunes ,Suna no Onna,1964
FALSE,Goldfinger ,,1964
FALSE,My Fair Lady ,,1964
FALSE,Scorpio Rising ,,1964
FALSE,Marnie ,,1964
FALSE,The Masque of the Red Death ,,1964
FALSE,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb ",,1964
FALSE,A Hard Day's Night ,,1964
FALSE,Gertrud ,,1964
FALSE,Mary Poppins ,,1964
FALSE,Alphaville ,"Alphaville, une Étrange Aventure de Lemmy Caution",1965
FALSE,Chimes at Midnight ,Campanadas a Medianoche,1965
FALSE,The Man Who Had His Hair Cut Short ,De man die Zijn Haar Kort Liet Knippen,1965
FALSE,Juliet of the Spirits ,Giuletta Degli Spiriti,1965
FALSE,The Battle of Algiers ,La Battaglia di Algeri,1965
FALSE,The Shop on Main Street ,Obchod na Korze,1965
FALSE,Pierrot Goes Wild ,Pierrot le Fou,1965
FALSE,The Saragossa Manuscript ,Rekopis Znaleziony w Saragossie,1965
FALSE,Golden River ,Subarnarekha,1965
FALSE,Shadows of Forgotten Ancestors ,Tini Zabutykh Predkiv,1965
FALSE,Tokyo Olympiad ,Tokyo Orimpikku,1965
FALSE,Doctor Zhivago ,,1965
FALSE,The War Game ,,1965
FALSE,The Sound of Music ,,1965
FALSE,"Faster, Pussycat! Kill! Kill! ",,1965
FALSE,Vinyl ,,1965
